countryName,reportingYear,pollutant,emissions
Austria,2007,Arsenic and compounds (as As),59.17
Austria,2007,Cadmium and compounds (as Cd),213
Austria,2007,Chromium and compounds (as Cr),7450.5
Austria,2007,Copper and compounds (as Cu),5105
Austria,2007,Cyanides (as total CN),6434.3
Austria,2007,Di-(2-ethyl hexyl) phthalate (DEHP),178.15
Austria,2007,Diuron,9.23
Austria,2007,Fluorides (as total F),136080
Austria,2007,Halogenated organic compounds (as AOX),80350
Austria,2007,Lead and compounds (as Pb),3402.1
Austria,2007,Mercury and compounds (as Hg),237.8
Austria,2007,Nickel and compounds (as Ni),11867.3
Austria,2007,Nonylphenol and Nonylphenol ethoxylates,21.69
Austria,2007,Octylphenols and Octylphenol ethoxylates,1.44
Austria,2007,Phenols (as total C),5413.9
Austria,2007,Total nitrogen,5243000
Austria,2007,Total organic carbon(as total C or COD/3) (TOC),15966200
Austria,2007,Total phosphorus,377020
Austria,2007,Tributyltin and compounds,3.65
Austria,2007,Trichloromethane,76.2
Austria,2007,Triphenyltin and compounds,1.44
Austria,2007,Zinc and compounds (as Zn),69339
Austria,2008,Arsenic and compounds (as As),469.53
Austria,2008,Cadmium and compounds (as Cd),216.2
Austria,2008,Chromium and compounds (as Cr),4814.9
Austria,2008,Copper and compounds (as Cu),5947.9
Austria,2008,Cyanides (as total CN),4055
Austria,2008,Di-(2-ethyl hexyl) phthalate (DEHP),85.76
Austria,2008,Diuron,27
Austria,2008,Fluorides (as total F),162070
Austria,2008,Halogenated organic compounds (as AOX),58430
Austria,2008,Lead and compounds (as Pb),1060.5
Austria,2008,Mercury and compounds (as Hg),251.6
Austria,2008,Nickel and compounds (as Ni),8234.6
Austria,2008,Nonylphenol and Nonylphenol ethoxylates,23.25
Austria,2008,Octylphenols and Octylphenol ethoxylates,1.39
Austria,2008,Phenols (as total C),5118.3
Austria,2008,Total nitrogen,5710200
Austria,2008,Total organic carbon(as total C or COD/3) (TOC),17390100
Austria,2008,Total phosphorus,403520
Austria,2008,Tributyltin and compounds,3.65
Austria,2008,Triphenyltin and compounds,1.39
Austria,2008,Zinc and compounds (as Zn),124185
Austria,2009,Arsenic and compounds (as As),80.36
Austria,2009,Cadmium and compounds (as Cd),232
Austria,2009,Chlorides (as total Cl),20900000
Austria,2009,Chromium and compounds (as Cr),2395.6
Austria,2009,Copper and compounds (as Cu),6209.4
Austria,2009,Cyanides (as total CN),2349
Austria,2009,Di-(2-ethyl hexyl) phthalate (DEHP),21.46
Austria,2009,Diuron,30.77
Austria,2009,Fluorides (as total F),115080
Austria,2009,Halogenated organic compounds (as AOX),56820
Austria,2009,Lead and compounds (as Pb),3984.6
Austria,2009,Mercury and compounds (as Hg),30
Austria,2009,Nickel and compounds (as Ni),8477.6
Austria,2009,Nonylphenol and Nonylphenol ethoxylates,26.61
Austria,2009,PCDD + PCDF (dioxins + furans) (as Teq),0.00904
Austria,2009,Total nitrogen,5680500
Austria,2009,Total organic carbon(as total C or COD/3) (TOC),15867700
Austria,2009,Total phosphorus,438010
Austria,2009,Zinc and compounds (as Zn),176010
Austria,2010,Arsenic and compounds (as As),179.8
Austria,2010,Cadmium and compounds (as Cd),44.3
Austria,2010,"Chloro-alkanes, C10-C13",4.85
Austria,2010,Chromium and compounds (as Cr),2648
Austria,2010,Copper and compounds (as Cu),5108
Austria,2010,Cyanides (as total CN),14484
Austria,2010,Di-(2-ethyl hexyl) phthalate (DEHP),71.15
Austria,2010,Diuron,444.38
Austria,2010,Fluorides (as total F),126540
Austria,2010,Halogenated organic compounds (as AOX),45460
Austria,2010,Lead and compounds (as Pb),2525.6
Austria,2010,Mercury and compounds (as Hg),18.64
Austria,2010,Nickel and compounds (as Ni),5104.9
Austria,2010,Nonylphenol and Nonylphenol ethoxylates,390.89
Austria,2010,PCDD + PCDF (dioxins + furans) (as Teq),0.0118
Austria,2010,Pentachlorophenol (PCP),5.61
Austria,2010,Phenols (as total C),360
Austria,2010,Tetrachloroethylene,91
Austria,2010,Total nitrogen,4945300
Austria,2010,Total organic carbon(as total C or COD/3) (TOC),15676600
Austria,2010,Total phosphorus,392860
Austria,2010,Trichloroethylene (TRI),29.4
Austria,2010,Trichloromethane,41.2
Austria,2010,Zinc and compounds (as Zn),109767
Austria,2011,"1,2-dichloroethane (DCE-1,2)",19.3
Austria,2011,Arsenic and compounds (as As),333.4
Austria,2011,Cadmium and compounds (as Cd),39.9
Austria,2011,"Chloro-alkanes, C10-C13",9.21
Austria,2011,Chromium and compounds (as Cr),638.4
Austria,2011,Copper and compounds (as Cu),4931.6
Austria,2011,Cyanides (as total CN),2510
Austria,2011,Di-(2-ethyl hexyl) phthalate (DEHP),177.07
Austria,2011,Dichloromethane (DCM),11.8
Austria,2011,Diuron,47.29
Austria,2011,Fluorides (as total F),121220
Austria,2011,Halogenated organic compounds (as AOX),52690
Austria,2011,Lead and compounds (as Pb),1735.6
Austria,2011,Mercury and compounds (as Hg),26
Austria,2011,Nickel and compounds (as Ni),5003.7
Austria,2011,Nonylphenol and Nonylphenol ethoxylates,117.54
Austria,2011,PCDD + PCDF (dioxins + furans) (as Teq),0.0132
Austria,2011,Pentachlorophenol (PCP),4.23
Austria,2011,Phenols (as total C),973
Austria,2011,Total nitrogen,4449700
Austria,2011,Total organic carbon(as total C or COD/3) (TOC),15564100
Austria,2011,Total phosphorus,335150
Austria,2011,Tributyltin and compounds,8.88
Austria,2011,Trichloromethane,22.5
Austria,2011,Zinc and compounds (as Zn),140944
Austria,2012,Anthracene,1.1
Austria,2012,Arsenic and compounds (as As),58.37
Austria,2012,Cadmium and compounds (as Cd),50.11
Austria,2012,"Chloro-alkanes, C10-C13",4.8
Austria,2012,Chromium and compounds (as Cr),1506.8
Austria,2012,Copper and compounds (as Cu),6005.1
Austria,2012,Cyanides (as total CN),6139
Austria,2012,Di-(2-ethyl hexyl) phthalate (DEHP),123.43
Austria,2012,Diuron,52.12
Austria,2012,Fluoranthene,1.6
Austria,2012,Fluorides (as total F),136130
Austria,2012,Halogenated organic compounds (as AOX),49190
Austria,2012,Lead and compounds (as Pb),1536.8
Austria,2012,Mercury and compounds (as Hg),17
Austria,2012,Nickel and compounds (as Ni),4556.2
Austria,2012,Nonylphenol and Nonylphenol ethoxylates,170.14
Austria,2012,Octylphenols and Octylphenol ethoxylates,53.8
