year,country,Electricity cooling,Agriculture,Manufacturing,Public water supply,Manufacturing cooling,Mining and quarrying,Construction
2007,AT,1701.3,54.5,1557.5,548,0,0,0
2007,BE,3992.2,37,1257.6,728.3,1021.2,37.5,131.8
2007,BG,3492.8,1015.3,228,1026.4,114.5,27.8,0
2007,CY,0,143,5.9,65.6,0,0,0
2007,CZ,607.1,29.8,303.8,701.6,75.5,42.1,0.5
2007,DE,19058.2,131.7,4896.8,5127.6,0,2294.2,204.3
2007,DK,1.8,117.5,41.8,405.7,0,0,0
2007,EE,1630.2,7.6,39.5,47.8,0,196.6,0
2007,EL,100.4,8458,233.7,846.3,0,67,0
2007,ES,5850,23180,645,5790,108.3,0,0
2007,EU,87358.4,56207.6,32256.5,36052.5,5068,2888.6,574.2
2007,FI,372,39.8,2599.9,409.6,0,0,0
2007,FR,18509.8,3932.8,2165.3,5683,0,0,0
2007,HR,110,30,64.7,491.5,41,3.5,0
2007,HU,4176.1,169.7,81,666.6,0,53.6,224.2
2007,IE,456.6,0,33.7,609,0,51,0
2007,IT,6019.4,12890,11661,5417.7,0,0,0
2007,LT,1979.4,81.8,35.2,132.5,0,1.4,0.2
2007,LU,0,0,2.7,36.5,0,0,0
2007,LV,2.2,50.7,27.7,116.6,0,5.5,0.9
2007,MT,24.4,23.2,1,14,0,0,0
2007,NL,6068.4,71.9,2952.1,1248.4,2856.6,0.9,0
2007,PL,7213.1,1122,491.7,2085.6,265.9,81.8,12.3
2007,PT,1499.4,3388.1,396,976.3,0,0,0
2007,RO,3496,1099,775,1493,0,9,0
2007,SE,116,107,1398,898,585,15,0
2007,SI,706.3,4.7,54.9,167.4,0,1.7,0
2007,SK,175.3,22.5,307,319.5,0,0,0
2008,AT,4,53.4,1657.1,608,1488.3,0,0
2008,BE,4098.5,39,1217.6,697.3,874,41.1,32.7
2008,BG,3741,1009.1,218.4,1016.2,102.3,25.9,0
2008,CY,0,111,6.2,44.8,0,0,0
