reportingYear,countryName,Total,Nitrogen,Phosphorus,TOC,"Heavy metals (Cd, Hg, Ni, Pb)"
2007,AT,21601940.2,5243000,377020,15966200,15720.2
2007,BE,11468767,2536400,540950,8382500,8917
2007,BG,21594523.1,3449000,297310,17810200,38013.1
2007,CY,0,0,0,0,0
2007,CZ,14417289.57,6947300,196080,7268700,5209.57
2007,DE,122724002.59,47687800,2188120,72804400,43682.59
2007,DK,5306863.34,1446800,149630,3709300,1133.34
2007,EE,857084.1,790000,66200,0,884.1
2007,EL,17353817.8,5418600,1628300,10277300,29617.8
2007,ES,67252782.26,27430600,3749940,36045600,26642.26
2007,EU,837426552.88,289167400,26425540,521238600,595012.88
2007,FI,54312970.21,7429000,191360,46680600,12010.21
2007,FR,163184944.9,65353200,4596760,93200300,34684.9
2007,HR,0,0,0,0,0
2007,HU,12532891.13,4804400,626540,7088500,13451.13
2007,IE,10845084.15,4206500,706980,5927100,4504.15
2007,IT,78634937.8,36030200,4944240,37549300,111197.8
2007,LT,2106903.8,1857000,129760,118000,2143.8
2007,LU,908349,479000,23200,406000,149
2007,LV,5592114.9,3515900,216500,1857000,2714.9
2007,MT,19547682,1926900,65760,17555000,22
2007,NL,20689431.86,12731700,1517040,6428600,12091.86
2007,PL,34107458.65,17966800,1136420,14817700,186538.65
2007,PT,37265862.8,9654000,1208480,26399200,4182.8
2007,RO,28838746.39,8749300,1075120,18985700,28626.39
2007,SE,76288286.43,9781800,369120,66127100,10266.43
2007,SI,2441205.91,925000,186700,1328000,1505.91
2007,SK,7552612.99,2807200,238010,4506300,1102.99
2008,AT,23513582.9,5710200,403520,17390100,9762.9
2008,BE,17538594.49,5305700,772690,11449700,10504.49
2008,BG,49709513.44,7309000,937930,41443900,18683.44
2008,CY,69200,54400,14800,0,0
2008,CZ,14094061.3,7066900,187130,6834200,5831.3
2008,DE,120762362.41,46112700,1972470,72635000,42192.41
2008,DK,4773235.7,1257400,143800,3368900,3135.7
2008,EE,2389284.6,790300,58900,1539300,784.6
2008,EL,18148107.2,5189300,1563100,11367500,28207.2
2008,ES,74480060.49,39031900,3663340,31768400,16420.49
2008,EU,983687683.85,409584100,25385820,548294600,423163.85
2008,FI,59983551.07,7440300,177390,52351900,13961.07
2008,FR,156255099.36,62246800,4544600,89420600,43099.36
2008,HR,0,0,0,0,0
2008,HU,11217870.66,4438500,542990,6235500,880.66
2008,IE,11068358.62,3964400,698620,6401300,4038.62
2008,IT,184744129.12,147547600,4155430,32934900,106199.12
2008,LT,1466207,1290700,70690,104000,817
2008,LU,1310078,569900,43190,696800,188
2008,LV,4238460,2400000,148000,1690000,460
2008,MT,5504122.3,276700,52730,5172900,1792.3
2008,NL,38286283.58,11360700,1499430,25414000,12153.58
2008,PL,29932805.99,16575100,740400,12559300,58005.99
2008,PT,37591565.12,9757000,1242000,26580500,12065.12
2008,RO,31533587.86,10345900,971030,20194200,22457.86
2008,SE,75316420.2,9846300,332920,65127000,10200.2
2008,SI,2306504.4,930400,198900,1176600,604.4
2008,SK,7454638.04,2766000,249820,4438100,718.04
2009,AT,21998934.2,5680500,438010,15867700,12724.2
2009,BE,15149112.21,4178200,702560,10259200,9152.21
2009,BG,11942464.41,6221300,1383110,4320000,18054.41
2009,CY,5204.59,0,5170,0,34.59
2009,CZ,14253665.86,7244300,232170,6764200,12995.86
2009,DE,107463212.69,42831200,1732050,62856500,43462.69
2009,DK,5709665.8,1701200,173330,3832400,2735.8
2009,EE,2254300,813000,61000,1380300,0
2009,EL,13267310.5,2656700,633390,9963000,14220.5
2009,ES,73224699.64,39795500,3541180,29868000,20019.64
2009,EU,802430906.31,280404100,23613110,497936500,477196.31
2009,FI,45352807.15,7150800,136310,38053900,11797.15
2009,FR,150095005.81,62431000,4232350,83329500,102155.81
2009,HR,0,0,0,0,0
2009,HU,8456697.64,2641800,308850,5494000,12047.64
2009,IE,12410452.37,4274800,762200,7369200,4252.37
2009,IT,69035575.09,29811100,4183640,34947600,93235.0900000001
2009,LT,1165601,1015500,44960,104000,1141
2009,LU,1450044,500000,33900,916000,144
2009,LV,4023676.7,1262800,50400,2710000,476.7
2009,MT,33338242.4,325000,61550,32951000,692.4
2009,NL,31028039.38,11024300,1440780,18550800,12159.38
2009,PL,31815890.98,15509200,529810,15717100,59780.98
2009,PT,37692930.1,10157400,1286240,26230200,19090.1
2009,RO,27656678.95,9586400,892190,17162100,15988.95
2009,SE,72750642.09,9323100,320650,63097100,9792.09
2009,SI,2564524.5,1136500,184700,1242900,424.5
2009,SK,8325528.25,3132500,242610,4949800,618.25
2010,AT,21022453.44,4945300,392860,15676600,7693.44
2010,BE,15737498.19,4596300,592520,10539300,9378.19
2010,BG,14997039.77,5720300,1132560,8119900,24279.77
2010,CY,198001.9,154000,44000,0,1.9
2010,CZ,12757879.91,6250800,298340,6201800,6939.91
2010,DE,117423202.85,46766500,1856310,68758900,41492.85
2010,DK,5181664.1,1428300,152500,3600100,764.1
2010,EE,2010714,779300,52600,1178600,214
2010,EL,12296902.4,3675400,1093700,7526600,1202.4
2010,ES,73617686.53,40092900,4179190,29315500,30096.53
2010,EU,796786022.64,295430700,24885000,476037700,432622.64
2010,FI,52882819.81,8097600,192980,44581500,10739.81
2010,FR,140443545.23,59006600,4028540,77349700,58705.23
2010,HR,0,0,0,0,0
2010,HU,12313235.34,5288900,592600,6428400,3335.34
2010,IE,12562799.73,4646600,735340,7176700,4159.73
2010,IT,76403898.42,33402700,4474530,38417800,108868.42
2010,LT,1420340,993500,31870,394000,970
2010,LU,1141186.29,387000,31010,723000,176.29
2010,LV,1134032,1090000,43600,0,432
2010,MT,1037404.39,325600,52400,658800,604.39
2010,NL,34765831.86,12266900,1456960,21031100,10871.86
2010,PL,41376427.02,22140900,663240,18507600,64687.02
2010,PT,36035799.1,10275800,1159240,24580900,19859.1
2010,RO,27470827.08,9453600,916770,17082900,17557.08
2010,SE,71615298.66,9378100,318590,61909900,8708.66
2010,SI,2336639.2,1037400,163900,1135100,239.2
2010,SK,8602895.42,3230400,228850,5143000,645.42
2011,AT,20355755.2,4449700,335150,15564100,6805.2
2011,BE,15453286.19,4099400,582150,10764300,7436.19
2011,BG,10478603,3032000,319740,7116100,10763
2011,CY,172267.47,147000,25200,0,67.47
2011,CZ,10458025.71,5001700,210410,5241400,4515.71
2011,DE,112734033.08,43751400,1781170,67165800,35663.08
2011,DK,4321940.6,1631500,189810,2499800,830.6
2011,EE,2322707.4,677500,52250,1592100,857.4
2011,EL,8772645.4,3044500,772180,4955600,365.4
2011,ES,79663295.44,42164000,3818830,33666200,14265.44
2011,EU,765442873.98,270386400,21340710,473310200,405563.98
2011,FI,45977038.36,7309900,168730,38488100,10308.36
2011,FR,127556408.51,55773300,3668410,68077500,37198.51
2011,HR,0,0,0,0,0
2011,HU,9908459.72,4306000,465180,5123400,13879.72
2011,IE,10565308.05,4528200,695000,5338200,3908.05
2011,IT,93789154.93,28317500,3284870,62051100,135684.93
2011,LT,1553210.2,1115500,53080,384000,630.2
2011,LU,878298.1,371000,31300,475800,198.1
2011,LV,3558388,1410000,87800,2060000,588
2011,MT,858429.1,556000,96300,204300,1829.1
2011,NL,33067944.98,11378200,1387120,20290700,11924.98
2011,PL,32714428.6,14987400,512190,17160000,54838.6
2011,PT,38770781.99,11399500,1360910,25986700,23671.99
2011,RO,21298193.1,7438300,798000,13042400,19493.1
2011,SE,70980982.57,9645700,327550,60999200,8532.57
2011,SI,2243116,906200,172200,1164300,416
2011,SK,6990172.28,2945000,145180,3899100,892.28
2012,AT,21048000.11,5412800,349940,15279100,6160.11
2012,BE,14406322.15,3843400,541150,10014200,7572.15
2012,BG,10223047.31,2723400,279750,7207700,12197.31
2012,CY,149557.61,123000,26550,0,7.61
2012,CZ,11007196.4,5235300,227420,5539600,4876.4
2012,DE,109066239.54,42975900,1708880,64342900,38559.54
2012,DK,6011173.1,1438500,238380,4333400,893.1
2012,EE,2267451,559400,48380,1658700,971
2012,EL,12631166.7,4102900,1315810,7204900,7556.7
2012,ES,97318933.87,48568500,5031420,43686800,32213.87
2012,EU,729677594.52,262114200,22410220,444741600,411574.52
2012,FI,51131771.23,8264300,174510,42677800,15161.23
2012,FR,107594409.42,41987300,3441390,62127100,38619.42
2012,HR,0,0,0,0,0
2012,HU,8402853.47,3707400,436150,4245500,13803.47
2012,IE,9385508.63,3981300,711300,4688800,4108.63
2012,IT,68719040.87,28340200,2814180,37459000,105660.87
2012,LT,946924.5,554700,17890,374000,334.5
2012,LU,555710,233000,19690,303000,20
2012,LV,2827723,1240000,97300,1490000,423
2012,MT,1986699,1067800,255300,662300,1299
2012,NL,31581892.92,11295800,1357100,18920600,8392.92
2012,PL,28925051.61,13345200,492360,15023500,63991.61
2012,PT,37293442.81,12649700,1413100,23203700,26942.81
2012,RO,18208760.9,7470900,793370,9931100,13390.9
2012,SE,69674381.31,9549800,343240,59773700,7641.31
2012,SI,1759387.9,721000,161470,876600,317.9
2012,SK,6554949.16,2722700,114190,3717600,459.16
2013,AT,22919127.64,5810600,384390,16706700,17437.64
2013,BE,13166385.06,3669100,538860,8951200,7225.06
2013,BG,9153827.05,2829400,284610,6027000,12817.05
2013,CY,152143.5,125000,27140,0,3.5
2013,CZ,11068384.85,5163600,278310,5611900,14574.85
2013,DE,110622013.54,43456700,1809390,65319600,36323.54
2013,DK,5955091.8,1555600,233820,4164700,971.8
2013,EE,2223174,528900,26850,1667000,424
2013,EL,9712221.79,4243200,1216000,4243700,9321.79
2013,ES,96044253.47,51134000,5150670,39722600,36983.47
2013,EU,730972036.24,272344400,22607500,435608100,412036.24
2013,FI,45315377.52,8799800,169240,36335700,10637.52
2013,FR,109696852.87,43321700,3218930,63122000,34222.87
2013,HR,0,0,0,0,0
2013,HU,10426857.24,4230800,469200,5713600,13257.24
2013,IE,9942798.03,3999900,814740,5125000,3158.03
2013,IT,71958942.95,29939100,2848290,39056400,115152.95
2013,LT,1578707.1,1227300,18590,332600,217.1
2013,LU,509528,217400,21100,271000,28
2013,LV,1836312.3,704000,61800,1070000,512.3
2013,MT,2060723,952900,209800,897000,1023
2013,NL,29372823.7,10555600,1345730,17462200,9293.7
2013,PL,32636394.34,14471000,577990,17522600,64804.34
2013,PT,34835805.55,11629100,1343010,21854200,9495.55
2013,RO,27092193.25,10779700,943050,15362800,6643.25
2013,SE,64256211.75,9678900,331740,54238800,6771.75
2013,SI,1981334.5,839300,155760,986000,274.5
2013,SK,6454551.44,2481800,128490,3843800,461.44
2014,AT,20667285.09,4778200,355220,15528000,5865.09
2014,BE,12549414.04,3594300,625970,8320900,8244.04
2014,BG,8948978.93,2912700,267370,5754700,14208.93
2014,CY,153863.75,123000,30860,0,3.75
2014,CZ,10108402.42,4707700,225360,5169400,5942.42
2014,DE,104235985.73,40469700,1648160,62086500,31625.73
2014,DK,4624638.8,1167800,133830,3322200,808.8
2014,EE,2149201,452300,20000,1676600,301
2014,EL,8896009.11,3624400,874800,4389100,7709.11
2014,ES,95531422.88,51863100,4729570,38923100,15652.88
2014,EU,715135829.86,266173900,21993500,426528100,440329.86
2014,FI,45710809.66,8196300,183690,37254700,76119.66
2014,FR,103651480.43,40731000,3329860,59561300,29320.43
2014,HR,4788485.45,4408000,380300,0,185.45
2014,HU,10187979.05,3290400,342580,6542900,12099.05
2014,IE,11025159.93,4604600,815570,5601500,3489.93
2014,IT,67696947.84,28866300,2896200,35824800,109647.84
2014,LT,551233.1,534200,16900,0,133.1
2014,LU,493559.2,213000,20440,260000,119.2
2014,LV,3664488,511000,63100,3090000,388
2014,MT,1798875,973000,146900,677000,1975
2014,NL,29206652.4,10561200,1389230,17248700,7522.4
2014,PL,30959634.08,13585200,526620,16777700,70114.08
2014,PT,34761956.06,12618200,1255160,20866200,22396.06
2014,RO,30557144.34,10718900,1061020,18768700,8524.34
2014,SE,64633308.06,9650200,360750,54615200,7158.06
2014,SI,1920966.9,843000,173330,904300,336.9
2014,SK,5661948.61,2176200,120710,3364600,438.61
2015,AT,19804214.89,5219800,356250,14222400,5764.89
2015,BE,12718221.14,3737800,581160,8392800,6461.14
2015,BG,6912260.44,2590400,206900,4106900,8060.44
2015,CY,161333.69,125000,36300,0,33.69
2015,CZ,10333880.17,4941800,217490,5170500,4090.17
2015,DE,105829546.36,41116300,1643100,63036100,34046.36
2015,DK,5203349.2,1375700,151400,3675500,749.2
2015,EE,2170317,409400,19300,1741400,217
2015,EL,8162289.9,3433000,876800,3844400,8089.9
2015,ES,98573655.46,56920100,5381790,36253600,18165.46
2015,EU,816603289.48,271296700,22549990,522462900,293699.48
2015,FI,50884139.59,7640100,156260,43078600,9179.59
2015,FR,106416621.11,46042000,3261180,57092300,21141.11
2015,HR,4282774.43,3884100,398500,0,174.43
2015,HU,8085777.57,2522200,315570,5234900,13107.57
2015,IE,12111398.67,5325100,838490,5944700,3108.67
2015,IT,167272223.22,25194400,2923740,139075400,78683.22
2015,LT,1123687.8,994800,38320,90300,267.8
2015,LU,535653.4,233000,21600,281000,53.4
2015,LV,1659490.7,550000,68900,1040000,590.7
2015,MT,2262477,1003700,191750,1067000,27
2015,NL,27891996.91,10975900,1330280,15577900,7916.91
2015,PL,28812984.49,11893100,485700,16386000,48184.49
2015,PT,34050304.42,12320500,1459070,20259900,10834.42
2015,RO,28504270.8,9794000,968240,17735100,6930.8
2015,SE,65595277.2,10213200,359090,55016000,6987.2
2015,SI,1965403.4,877000,147800,940200,403.4
2015,SK,5279740.52,1964300,115010,3200000,430.52
2016,AT,21529236.39,5061500,351370,16109000,7366.39
2016,BE,13565545.11,3476900,612990,9469800,5855.11
2016,BG,7245320.38,2492600,245480,4492600,14640.38
2016,CY,155222.45,125000,29980,0,242.45
2016,CZ,9977314.39,4711900,181080,5080500,3834.39
2016,DE,105698445.23,42113700,1536110,62016000,32635.23
2016,DK,4981169.8,1324000,141350,3515200,619.8
2016,EE,2524355,512300,21600,1990200,255
2016,EL,9476037.08,3737900,1051900,4680000,6237.08
2016,ES,91713097.6,53324700,4656450,33714000,17947.6
2016,EU,705667774.27,266980300,21286020,417172500,228954.27
2016,FI,49211266.32,7946300,138140,41114800,12026.32
2016,FR,112272078.93,45879100,3220560,63157000,15418.93
2016,HR,4184623.87,3801900,382600,0,123.87
2016,HU,7585029.8,3147800,274440,4160500,2289.8
2016,IE,13988635.67,6062700,832330,7091200,2405.67
2016,IT,53891919.66,23088600,2867580,27877700,58039.66
2016,LT,1373910.5,1221800,47600,104000,510.5
2016,LU,544420.5,238000,25200,281200,20.5
2016,LV,1713583.6,565000,58000,1090000,583.6
2016,MT,1974592,914800,137750,921000,1042
2016,NL,26820113.42,10587200,1182370,15042500,8043.42
2016,PL,30603728.5,12839300,419800,17323700,20928.5
2016,PT,39782412.91,13336900,1399820,25040900,4792.91
2016,RO,26072305.8,8505100,886490,16675200,5515.8
2016,SE,61659518.26,9534900,342710,51775100,6808.26
2016,SI,1891647.5,584200,132380,1174700,367.5
2016,SK,5232243.6,1846200,109940,3275700,403.6
2017,AT,19360405.51,4350300,302850,14701500,5755.51
2017,BE,13031866.88,3359700,604740,9062500,4926.88
2017,BG,7349001.45,2492500,256850,4589300,10351.45
2017,CY,942783.97,804600,137900,0,283.97
2017,CZ,10507094.95,4931900,164140,5405800,5254.95
2017,DE,109348810.62,42108400,1476300,65728700,35410.62
2017,DK,4825952.2,1247500,120410,3457300,742.2
2017,EE,2358347,507500,20800,1829800,247
2017,EL,10635267.37,3897700,875500,5854500,7567.37
2017,ES,100970263.66,58806900,5291210,36845700,26453.66
2017,EU,716135969.62,280348270,25278230,410229100,280369.62
2017,FI,41688062.46,9368900,219940,32091900,7322.46
2017,FR,106835026.11,48051200,3000330,55771400,12096.11
2017,HR,5302589.31,3976000,348200,978000,389.31
2017,HU,12688791.39,2924800,4148950,5608700,6341.39
2017,IE,13806997.59,5274700,887900,7642100,2297.59
2017,IT,60771689.59,25534100,2961200,32183200,93189.59
2017,LT,1554252.5,1336600,53610,163500,542.5
2017,LU,512698,248000,11600,253000,98
2017,LV,1813276.6,505000,57700,1250000,576.6
2017,MT,2780712.72,1568370,176300,1036000,42.72
2017,NL,27726752.37,10878400,1244600,15595700,8052.37
2017,PL,30248855.96,13744900,466940,16015200,21815.96
2017,PT,33278020.27,13179900,1151550,18929100,17470.27
2017,RO,25997531.6,8668600,776160,16547700,5071.6
2017,SE,65561483.66,10280700,313990,54959600,7193.66
2017,SI,1470297.3,572700,108170,789000,427.3
2017,SK,4769138.58,1728400,100390,2939900,448.58
2018,AT,20462667.23,5352800,339050,14764700,6117.23
2018,BE,22165928.49,10134400,666670,11358400,6458.49
2018,BG,7774850.2621,2333124.585,258487.198,5175048.5953,8189.8838
2018,CY,855050.7,668000,121010,65800,240.7
2018,CZ,20851307.82726,4691096.141,477391.06,15677356.31746,5464.3088
2018,DE,90472917.93,34253000,1278410,54912400,29107.93
2018,DK,5434465.53142,1700518.868716,190858.939335,3542489.406269,598.3171
2018,EE,0,0,0,0,0
2018,EL,6674445.76,3204900,644000,2822000,3545.76
2018,ES,103944034.33,63712300,5063330,35142300,26104.33
2018,EU,671896247.28498,262871249.979716,19794754.929935,388979852.938029,250389.4373
